StationName,NVG_cluster,PVG_cluster,Neg_Depth,Pos_Depth,Category,TectonicType,logS_AttenuationRF_Neg,logS_AttenuationRF_Pos,dVsCAM22RF_Neg,dVsWINTRF_Neg,dVsCAM22RF_Pos,dVsWINTRF_Pos,Negdep_Isostat_pressure,Posdep_Isostat_pressure,Temperature_N_CAM22,Temperature_N_WINT,T_N_solidus_norm_CAM22,T_N_solidus_norm_WINT,Temperature_P_CAM22,Temperature_P_WINT,T_P_solidus_norm_CAM22,T_P_solidus_norm_WINT,log_omegaGBs,Neg_Depth_scaled,logS_AttenuationRF_Neg_scaled,dVsCAM22RF_Neg_scaled,Negdep_Isostat_pressure_scaled,Temperature_N_CAM22_scaled,T_N_solidus_norm_CAM22_scaled,KMeans_k3,GMM_k3,Agglomerative_k3,KMeans_k4,GMM_k4,Agglomerative_k4,KMeans_k5,GMM_k5,Agglomerative_k5,KMeans_k6,GMM_k6,Agglomerative_k6,KMeans_k7,GMM_k7,Agglomerative_k7,KMeans_k8,GMM_k8,Agglomerative_k8,KMeans_k9,GMM_k9,Agglomerative_k9,KMeans_k10,GMM_k10,Agglomerative_k10,tsne_1,tsne_2
ZOMB,1,,61.4438733688152,35.0,LVD,2,-6.14039421081543,,1.83310061398182,4.66669973134509,,,20.3963625560652,,908.232791318709,815.899098920924,0.684200040543309,0.61464219514736,,,,,0.40727841683172,-1.13416986918081,-0.5637602024598625,0.385548457196702,-1.1101496777234023,-0.6115897327697261,-0.2631916858175231,0,0,1,0,0,1,0,0,0,3,3,5,6,6,5,4,0,2,4,0,0,4,0,9,-16.349703,-8.580631
Q02GG,1,,57.1577870030076,35.0,LVD,2,-5.75161600112915,,0.371793343470872,5.23400128570704,,,19.0420311464919,,1140.85259947888,744.361510614279,0.868765960290423,0.566835665595568,,,,,-2.31029565590792,-1.2114330433159066,-0.0254369876964166,0.024584155894724798,-1.1809838139237387,-0.0007853231174826616,0.5041839241470933,2,2,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1,8,8,1,8,8,1,-5.7553644,-16.645609
PM35,1,,57.3741908694487,35.0,LVD,2,-4.90658283233643,,-0.145218490457361,2.28782155155693,,,18.9219044559616,,1202.18573138752,1085.09948978546,0.915471500747245,0.82630963954916,,,,,8.068227253855,-1.2075320370856701,1.144641377480779,-0.1031253403657746,-1.1872666707623023,0.1602609253678792,0.698373039049176,2,2,0,2,2,3,2,2,3,2,2,3,2,2,3,7,7,3,7,7,3,7,7,3,12.642627,-13.952763
OTJO,1,2.0,56.301310277429,189.901550648869,LVL,2,-6.48942708969116,-5.26521301269531,1.70920904065957,4.4654842016974,0.121631784279906,1.17549641175259,18.7835304295469,64.1865730876327,940.364736685566,803.184180645843,0.718041223010836,0.61329325619612,1441.18093355279,1397.74196335412,0.843256124328752,0.817839345073792,-0.0493394143671563,-1.2268723286553114,-1.0470498949715434,0.35494542380056204,-1.1945038983451255,-0.5272188699613988,-0.12248912234576131,0,0,1,0,0,1,0,0,0,3,0,5,6,0,5,4,0,2,4,0,0,4,0,9,-15.844921,-9.476148
TSUM,1,,56.8731114110822,35.0,LVD,2,-6.55291986465454,,3.16820153040765,4.91370971229015,,,19.0514659350439,,757.068656299453,762.51534690689,0.576512231725822,0.580659918638344,,,,,-1.58511948450681,-1.216564750415047,-1.1349654053601517,0.7153379403467954,-1.1804903563456381,-1.0085108762497064,-0.7109287224833306,0,0,1,0,0,1,0,0,0,3,3,5,6,6,5,4,4,2,4,4,0,4,4,9,-22.481348,-7.0598826
BAHE,1,,68.1625471542151,35.0,LVD,3,-6.71802806854248,,1.81493893570745,3.78255494550128,,,22.6801234230847,,1073.19038270237,885.106166612709,0.793193187510991,0.654180463128388,,,,,2.71685439465181,-1.0130556362107401,-1.3635831027678746,0.38106225662747667,-0.9907045942231791,-0.17845024641361706,0.1899725968999308,0,0,0,0,0,2,0,0,2,3,0,0,6,0,6,0,0,6,0,8,6,0,8,2,-8.647785,-7.205807
AU-FITZ,3,1.0,213.971664,107.1224678,HVL,2,-5.13797807693481,-6.4447021484375,0.52141956484192,3.65958409999543,5.91853784012809,5.29852623931516,72.5322501005503,35.6579065679744,1456.04762969173,1080.99135813804,0.826485826283811,0.613595336867883,463.448141366089,762.315410643022,0.312142342979271,0.513435910360798,7.97420411866981,1.615373710246867,0.8242390790760139,0.0615440243245662,1.6166574635323785,0.8268420224519843,0.32839446276026574,1,1,2,1,1,0,4,1,1,4,1,1,4,1,0,5,1,7,5,1,7,5,5,7,12.110579,18.206219
BL-AREB,4,1.0,224.8430641,162.1464405,HVL,2,-5.00421476364136,-4.81902694702148,-3.84160128491811,-3.05734407252436,3.37700758591166,1.63890328889936,76.4938519133973,54.4155473222247,1479.72920665802,1424.37009345023,0.829968004856212,0.798917531206749,1278.8813578465,1318.79060304848,0.779235533662257,0.803552646264003,14.2624332333454,1.811347101198437,1.0094549554689989,-1.016186035862518,1.8238568538729716,0.8890242233270242,0.34287242765033465,1,1,2,1,1,0,4,4,4,4,4,4,4,4,4,5,5,4,5,5,4,9,9,4,23.174421,35.099773
BL-ITAB,3,1.0,220.1845165,110.0922583,HVL,2,-4.75049114227295,-4.63220882415771,-4.76754677973631,-2.7350330966115,4.50526182867213,3.23272874344245,74.7956731259321,36.5251396178306,1497.95137496149,1407.750574486,0.844630039448262,0.793769706504654,808.070622196873,1046.18516475725,0.540877257159888,0.700257807735774,14.0172473927533,1.7273697513002122,1.3607743250053779,-1.244908136494988,1.7350388388187903,0.9368713127095462,0.4038332364161825,1,1,2,1,1,0,4,4,4,4,4,4,4,4,4,5,5,4,5,5,4,9,9,4,23.869164,34.906727
BR-SGCB,2,1.0,171.7252386,140.2060492,HVL,1,-5.90780115127563,-6.1195912361145,1.28314265647729,1.08230334901742,3.40296914498317,2.56966147051383,57.5291023205999,46.6398315250316,1393.41229442456,1377.69981887384,0.836005576375917,0.826578562396187,1211.47735114374,1229.9715821607,0.765455815594511,0.777141148938559,13.5613787826358,0.8538181456401944,-0.24169934507753252,0.2497007858122477,0.8319639935539993,0.6623764969929853,0.367975031283696,1,1,2,1,1,0,1,1,1,1,1,1,1,1,0,1,1,5,1,1,2,5,5,0,2.9415169,7.7747436
CH_BRANT,2,1.0,169.8357356,115.9068528,HVL,3,-5.11169719696045,-4.83627319335938,-1.53516525934911,0.557651899925928,-2.31015903355192,-1.30343153746918,56.9664106828345,38.2856163916198,1460.76286251086,1388.39589813046,0.878918689838062,0.835376593339625,1404.70509461785,1378.01078471833,0.929037760990642,0.911382794125882,13.7255279144336,0.8197570029431127,0.8606289986808856,-0.4464625524666379,0.8025341392166313,0.8392231047907615,0.5463962515372214,1,1,2,1,1,0,1,1,1,1,1,1,1,1,0,1,1,5,1,1,2,1,1,0,10.172848,7.9378085
