StationName,Continent,Latitude,Longitude,Hypothesis
GT-CPUP,south america,-26.3,-57.3,M-C
E15A,north america,46.4,-112.6,M-C
BMNY,north america,44.8,-74.5,M-C
B11A,north america,48.4,-116.4,M-C
M21A,north america,41.6,-107.4,M-C
HCNY,north america,42.7,-74.4,M-C
M33A,north america,41.6,-97.2,M-C
KZ_PDGK,asia,43.3,79.5,M-C
PANJ,north america,40.4,-74.7,M-C
LONY,north america,44.6,-74.6,M-C
L59A,north america,42.2,-75,M-C
FOR,north america,40.9,-73.9,M-C
D14A,north america,47.1,-113.5,M-C
D54A,north america,47.2,-76.7,M-C
S23A,north america,37.7,-106,M-C
A11A,north america,49,-116.4,M-C
X38A,north america,34.7,-94.8,M-C
BRNY,north america,41.4,-74,M-C
AU-KNRA,oceania,-15.7,128.8,M-C
KZ_ZRNK,asia,53,69,M-C
R26A,north america,38.3,-103.4,M-C
R25A,north america,38.1,-104.3,M-C
F13A,north america,45.8,-114.3,M-C
G54A,north america,45.4,-78.1,M-C
F25A,north america,45.9,-103.5,M-C
GE_HALK,asia,6.1,80.7,M-C
Q24A,north america,39,-105.1,M-C
C13A,north america,47.7,-114.6,M-C
R35A,north america,38.3,-96.2,M-C
P23A,north america,39.4,-105.8,M-C
P25A,north america,39.5,-104.2,M-C
N24A,north america,40.8,-104.9,M-C
HE_RAF,europe,61,21.8,M-C
BL-CNLB,south america,-29.3,-50.9,M-C
R24A,north america,38.2,-105.1,M-C
XW_KDJ,asia,42.1,77.2,M-C
XW_KENS,asia,42.3,79.2,M-C
I55A,north america,44.2,-77.7,M-C
G53A,north america,45.1,-78.6,M-C
M24A,north america,41.5,-104.8,M-C
S1-AUKAL,oceania,-30.8,121.5,M-C
I23A,north america,44,-105.5,M-C
D47A,north america,47.1,-83.1,M-C
AU-HTT,oceania,-33.4,138.9,M-C
C14A,north america,47.8,-113.7,M-C
P60A,north america,39.8,-75.6,M-C
Y12C,north america,33.8,-114.5,M-C
XW_AKSU,asia,41.1,80.1,M-C
H22A,north america,44.6,-106.4,M-C
X4_F13,asia,31.2,95.9,M-C
KR_DRK,asia,39.5,71.8,M-C
HE_RMF,europe,64.2,29.9,M-C
NCB,north america,44,-74.2,M-C
E53A,north america,46.4,-77.7,M-C
AU-AS31,oceania,-23.7,133.9,M-C
AU-KMBL,oceania,-31.4,121.9,M-C
WCNY,north america,44,-75.7,M-C
II_TLY,asia,51.7,103.6,M-C
D58A,north america,47.1,-72.9,M-C
XR_BA01,asia,24.2,91.7,M-C
P24A,north america,39.5,-104.9,M-C
NPNY,north america,41.8,-74.1,M-C
LBTB,Africa,-25.0151,25.59665,M-C
HVD,Africa,-30.605,25.497,M-C
BOSA,Africa,-28.6141,25.2555,M-C
NE219,Africa,-22.56967,27.446815,M-C
B1665,Africa,-22.8246,27.2286,M-C
SA46,Africa,-24.838169,27.1092,M-C
SA45,Africa,-24.879187,26.164375,M-C
DODT,Africa,-6.186,35.748001,M-C
KOMO,Africa,-3.8422,36.7192,M-C
LIRA,Africa,2.1096,33.064301,M-C
LN35,Africa,-2.6304,36.005901,M-C
LN34,Africa,-2.751,36.0485,M-C
KUMI,Africa,1.4769,33.864799,M-C
GULU,Africa,2.8778,32.284801,M-C
MAUS,Africa,-2.741,36.703999,M-C
MBAR,Africa,-0.6019,30.7382,M-C
PIGI,Africa,0.231,32.319,M-C
NE220,Africa,-23.363029,25.859613,M-C
LSZ,Africa,-15.2779,28.1882,M-C
ZOMB,Africa,-15.3833,35.349998,M-C
Q02GG,Africa,-13.2923,35.030399,M-C
PM35,Africa,31.046301,-3.9958,M-C
OTJO,Africa,-20.018,15.9799,M-C
TSUM,Africa,-19.2022,17.5838,M-C
BAHE,Africa,-21.3521,15.4405,M-C
AU-FITZ,oceania,-18.1,125.6,M-C
BL-AREB,south america,-21.4,-46.1,M-C
BL-ITAB,south america,-27.2,-52.1,M-C
BR-SGCB,south america,-0.1,-67,M-C
CH_BRANT,europe,46.9,6.5,M-C
CZ_KHC,europe,49.1,13.6,M-C
D08A,north america,47.1,-118.9,M-C
D52A,north america,47,-78.4,M-C
D57A,north america,47,-73.9,M-C
E47A,north america,46.5,-83.3,M-C
E50A,north america,46.4,-80.7,M-C
E52A,north america,46.3,-78.7,M-C
F48A,north america,45.8,-82.6,M-C
FN_SGF,europe,67.4,26.5,M-C
FRNY,north america,44.8,-73.6,M-C
G_HYB,asia,17.4,78.6,M-C
H53A,north america,44.6,-78.6,M-C
H55A,north america,44.6,-77.2,M-C
HE_PVF,europe,60.5,25.9,M-C
IC_ENH,asia,30.3,109.5,M-C
II_BFO,europe,48.3,8.3,M-C
II_PALK,asia,7.3,80.7,M-C
IRM,north america,34.2,-115.1,M-C
IU-MBWA,oceania,-21.2,119.7,M-C
K58A,north america,42.8,-75.6,M-C
KR_BTK,asia,40.1,70.8,M-C
KR_PRZ,asia,42.5,78.4,M-C
L61A,north america,42.2,-73.6,M-C
LPHEP,Africa,-23.363029,25.859613,M-C
M34A,north america,41.5,-96.6,M-C
M35A,north america,41.5,-95.7,M-C
M60A,north america,41.3,-74.6,M-C
MCVT,north america,44,-73,M-C
MN_TUE,europe,46.5,9.3,M-C
MSO,north america,46.8,-113.9,M-C
N25A,north america,40.8,-104.1,M-C
N59A,north america,40.9,-75.8,M-C
NL_HGN,europe,50.8,5.9,M-C
O22A,north america,40.2,-106.5,M-C
O36A,north america,40.1,-95,M-C
TASO,north america,34.9,-106.5,M-C
WUPA,north america,39.9,-75.6,M-C
XW_ADEN,asia,12.8,45,M-C
R45A,north america,38.3,-88.3,M-P
F22A,north america,45.8,-106.3,M-P
LRAL,north america,33,-87,M-P
W08,north america,31.7,-83.9,M-P
D63A,north america,47,-68.1,M-P
U47A,north america,36.4,-87.3,M-P
K36A,north america,42.6,-94.5,M-P
U34A,north america,36.4,-97.5,M-P
M55A,north america,41.5,-78.8,M-P
N45A,north america,40.8,-87.5,M-P
S49A,north america,37.8,-85.3,M-P
S1-AUKAR,oceania,-20.8,116.8,M-P
GE_VSU,europe,58.5,26.7,M-P
P38B,north america,39.6,-93.5,M-P
KR_ARK,asia,41.8,72,M-P
Z44A,north america,33.3,-90.4,M-P
A28A,north america,48.9,-100.3,M-P
J52A,north america,43.2,-80.5,M-P
F26A,north america,45.9,-102.7,M-P
LADY,north america,38.5,-78.8,M-P
L38A,north america,42.1,-93,M-P
M26A,north america,41.5,-103.1,M-P
V52A,north america,35.8,-83.6,M-P
U32A,north america,36.4,-99,M-P
H43A,north america,44.5,-87.8,M-P
N39A,north america,40.9,-92.5,M-P
BL-DIAM,south america,-18.3,-43.7,M-P
P53A,north america,39.5,-81.4,M-P
131A,north america,32.7,-100.4,M-P
FOXP,north america,38.6,-79.2,M-P
C37A,north america,47.7,-92.2,M-P
E43A,north america,46.4,-87,M-P
T35A,north america,36.9,-96.5,M-P
D05,north america,33.8,-82.5,M-P
J55A,north america,43.3,-77.8,M-P
C27A,north america,47.7,-101.5,M-P
C36A,north america,47.8,-92.8,M-P
ALLY,north america,41.6,-80.1,M-P
D26A,north america,47,-102.4,M-P
D14,north america,34.4,-83.2,M-P
W50A,north america,35.2,-85.3,M-P
D25A,north america,47.2,-103.3,M-P
SIUC,north america,37.7,-89.2,M-P
PVGR,north america,39.6,-81.4,M-P
O39A,north america,40.3,-92.5,M-P
F33A,north america,45.8,-96.3,M-P
M54A,north america,41.5,-79.7,M-P
W52A,north america,35.1,-83.9,M-P
G41A,north america,45.2,-89.2,M-P
AU-MULG,oceania,-30.3,134.1,M-P
M48A,north america,41.5,-84.7,M-P
Q39A,north america,39,-93,M-P
117A,north america,32.6,-110.7,U
125A,north america,32.7,-104.7,U
217A,north america,31.8,-110.8,U
226B,north america,32.1,-104.2,U
342B,north america,31.4,-92.3,U
433A,north america,30.8,-99.1,U
534A,north america,30,-98.5,U
552A,north america,30.1,-85.3,U
637A,north america,29.4,-96.3,U
933A,north america,27.6,-99.3,U
A16A,north america,48.9,-111.6,U
AGMN,north america,48.3,-95.9,U
AU-ARPS,oceania,-36.8,141.8,U
AU-BBOO,oceania,-32.8,136.1,U
AU-BW2S,oceania,-20,148.2,U
AU-CMSA,oceania,-31.5,145.7,U
AU-CN1H,oceania,-16.9,145.7,U
AU-CNB,oceania,-35.3,149.4,U
AU-COEN,oceania,-14,143.2,U
AU-EIDS,oceania,-25.4,151.1,U
AU-KDU,oceania,-12.7,132.5,U
AU-LCRK,oceania,-30.4,138.2,U
